Seed,Network_Type,N_max,Epoch,Base_Loss,Size_Loss,Hidden_Layer_Size,Learning_Rate,Num_Epochs,Size_Influence
7,Spiral_Grown,10,0,1.6860272884368896,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,100,1.5730558633804321,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,200,1.4899108409881592,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,300,1.3976269960403442,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,400,1.3306753635406494,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,500,1.2927178144454956,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,600,1.271303415298462,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,700,1.2578859329223633,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,800,1.2469617128372192,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,900,1.2352333068847656,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,1000,1.2213051319122314,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,1100,1.204171895980835,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,1200,1.183279037475586,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,1300,1.1589571237564087,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,1400,1.1318687200546265,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,1500,1.1022727489471436,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,1600,1.0696460008621216,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,1700,1.0329798460006714,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,1800,0.9949033260345459,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,1900,0.9580702185630798,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,2000,0.9230360984802246,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,2100,0.8900982737541199,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,2200,0.8593195676803589,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,2300,0.8306569457054138,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,2400,0.8039858937263489,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,2500,0.7791076898574829,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,2600,0.7557995915412903,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,2700,0.7338512539863586,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,2800,0.7130484580993652,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,2900,0.6931357383728027,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,3000,0.6738770008087158,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,3100,0.6552140712738037,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,3200,0.6372859477996826,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,3300,0.6202536225318909,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,3400,0.604178249835968,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,3500,0.5890290141105652,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,3600,0.5747333765029907,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,3700,0.5612123608589172,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,3800,0.5483858585357666,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,3900,0.5361650586128235,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,4000,0.5244479775428772,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,4100,0.5131300687789917,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,4200,0.5021271705627441,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,4300,0.49140477180480957,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,4400,0.48099446296691895,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,4500,0.47097375988960266,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,4600,0.4614204466342926,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,4700,0.45237699151039124,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,4800,0.4438450336456299,0.0,[1.],0.001,5000,0.01
7,Spiral_Grown,10,4900,0.4357992112636566,0.0,[1.],0.001,5000,0.01
7,Spiral_Growing,10,0,1.6262329816818237,0.00998030137270689,[0.00098537],0.001,5000,0.01
7,Spiral_Growing,10,100,1.6123322248458862,0.008114418014883995,[0.09919933],0.001,5000,0.01
7,Spiral_Growing,10,200,1.5740110874176025,0.006522029638290405,[0.19240919],0.001,5000,0.01
